filename,directory,extension,lines_count,words_count,symbols_count,commits_count,authors_count,creation_date,creation_author,modification_date,modification_author
FragmentEmitSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/fragment/,kt,168,537,7837,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
FragmentKey,livemap/src/commonMain/kotlin/jetbrains/livemap/fragment/,kt,15,62,459,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
FragmentProvider,livemap/src/commonMain/kotlin/jetbrains/livemap/fragment/,kt,136,388,5236,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
FragmentsRemovingSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/fragment/,kt,74,251,3379,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
FragmentUpdateSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/fragment/,kt,91,250,3437,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
RegionEmitSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/fragment/,kt,127,301,4272,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
RegionRenderer,livemap/src/commonMain/kotlin/jetbrains/livemap/fragment/,kt,57,185,2081,2,1,09/03/21 16:36:48,I. Kupriyanov,09/21/21 16:26:22,I. Kupriyanov
Utils,livemap/src/commonMain/kotlin/jetbrains/livemap/fragment/,kt,62,181,2021,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
ApplyPointSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/geocoding/,kt,52,147,1789,2,2,01/10/20 15:08:34,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
Components,livemap/src/commonMain/kotlin/jetbrains/livemap/geocoding/,kt,40,132,1320,7,3,01/10/20 15:08:34,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
LocationCalculateSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/geocoding/,kt,66,208,2869,4,2,01/10/20 15:08:34,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
LocationCounterSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/geocoding/,kt,38,102,1236,2,2,01/10/20 15:08:34,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
MapLocationGeocoder,livemap/src/commonMain/kotlin/jetbrains/livemap/geocoding/,kt,117,334,4283,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
MapLocationInitializationSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/geocoding/,kt,103,355,4147,9,3,01/10/20 15:08:34,I. Seleznev,09/21/21 16:26:22,I. Kupriyanov
GeometryTransform,livemap/src/commonMain/kotlin/jetbrains/livemap/geometry/,kt,96,340,3736,2,2,01/10/20 15:08:34,I. Seleznev,08/23/21 14:01:25,I. Kupriyanov
MultiLineStringTransform,livemap/src/commonMain/kotlin/jetbrains/livemap/geometry/,kt,58,169,2039,1,1,01/10/20 15:08:34,I. Seleznev,01/10/20 15:08:34,I. Seleznev
MultiPointTransform,livemap/src/commonMain/kotlin/jetbrains/livemap/geometry/,kt,48,130,1389,1,1,01/10/20 15:08:34,I. Seleznev,01/10/20 15:08:34,I. Seleznev
MultiPolygonTransform,livemap/src/commonMain/kotlin/jetbrains/livemap/geometry/,kt,70,212,2597,1,1,01/10/20 15:08:34,I. Seleznev,01/10/20 15:08:34,I. Seleznev
ScaleComponent,livemap/src/commonMain/kotlin/jetbrains/livemap/geometry/,kt,13,47,335,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
ScaleUpdateSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/geometry/,kt,32,108,1174,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
ScreenGeometryComponent,livemap/src/commonMain/kotlin/jetbrains/livemap/geometry/,kt,16,58,471,2,2,01/10/20 15:08:34,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
WorldGeometry2ScreenUpdateSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/geometry/,kt,84,256,3354,3,2,01/10/20 15:08:34,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
WorldGeometryComponent,livemap/src/commonMain/kotlin/jetbrains/livemap/geometry/,kt,14,54,440,2,2,01/10/20 15:08:34,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
MakeGeometryWidgetComponent,livemap/src/commonMain/kotlin/jetbrains/livemap/makegeometrywidget/,kt,14,57,467,1,1,01/15/20 12:14:35,I. Seleznev,01/15/20 12:14:35,I. Seleznev
MakeGeometryWidgetSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/makegeometrywidget/,kt,88,277,3470,6,3,01/15/20 12:14:35,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
MakeGeometryWidgetUtils,livemap/src/commonMain/kotlin/jetbrains/livemap/makegeometrywidget/,kt,37,113,1076,1,1,01/15/20 12:14:35,I. Seleznev,01/15/20 12:14:35,I. Seleznev
Context2dExt,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/,kt,21,144,964,1,1,09/21/21 16:26:22,I. Kupriyanov,09/21/21 16:26:22,I. Kupriyanov
LayerEntitiesComponent,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/,kt,23,63,551,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
LiveMapContext,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/,kt,27,101,905,2,1,09/03/21 16:36:48,I. Kupriyanov,09/21/21 16:26:22,I. Kupriyanov
MapProjection,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/,kt,15,58,489,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
MapRenderContext,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/,kt,34,129,1196,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
Renderer,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/,kt,13,50,371,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
RenderingSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/,kt,75,240,3136,1,1,09/21/21 16:26:22,I. Kupriyanov,09/21/21 16:26:22,I. Kupriyanov
BasemapCellLoadingSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/,kt,115,363,5264,2,1,09/03/21 16:36:48,I. Kupriyanov,09/21/21 16:26:22,I. Kupriyanov
BasemapCellRenderer,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/,kt,75,257,2741,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
BasemapCellsRemovingSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/,kt,75,251,3241,2,1,09/03/21 16:36:48,I. Kupriyanov,09/21/21 16:26:22,I. Kupriyanov
BasemapLayerKind,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/,kt,17,53,452,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
Components,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/,kt,89,274,2878,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
DonorTileCalculator,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/,kt,67,220,2462,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
Tile,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/,kt,31,94,851,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
Tilesets,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/,kt,64,217,2688,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
RasterTileLayerComponent,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/raster/,kt,10,41,309,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
RasterTileLoadingSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/raster/,kt,132,427,6071,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
SolidColorTileSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/solid/,kt,101,365,4241,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
Symbolizer,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/,kt,311,929,11437,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
TileDataFetcher,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/,kt,14,59,458,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
TileDataFetcherImpl,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/,kt,33,135,1334,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
TileDataParser,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/,kt,14,64,513,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
TileDataParserImpl,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/,kt,99,329,4219,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
TileDataRenderer,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/,kt,21,82,727,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
TileDataRendererImpl,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/,kt,121,392,4269,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
TileFeature,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/,kt,33,132,1132,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
TileLoadingSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/,kt,144,454,6589,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
DebugCellRenderer,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/debug/,kt,57,213,2091,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
DebugDataSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/debug/,kt,45,155,1898,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
DebugTileDataFetcher,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/debug/,kt,38,166,1675,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
DebugTileDataParser,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/debug/,kt,35,140,1474,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
DebugTileDataRenderer,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/basemap/vector/debug/,kt,53,200,2229,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
Camera,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/camera/,kt,60,181,1787,2,1,09/03/21 16:36:48,I. Kupriyanov,11/18/21 18:10:10,I. Kupriyanov
CameraInputSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/camera/,kt,121,344,4635,2,1,09/03/21 16:36:48,I. Kupriyanov,11/18/21 18:10:10,I. Kupriyanov
CameraScale,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/camera/,kt,85,223,3051,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
Components,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/camera/,kt,22,87,703,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
Components,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/placement/,kt,41,145,1373,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
ScreenLoopsUpdateSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/placement/,kt,41,135,1604,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
WorldDimension2ScreenUpdateSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/placement/,kt,36,149,1619,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
WorldOrigin2ScreenUpdateSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/placement/,kt,37,113,1345,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
Cells,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/viewport/,kt,44,168,1694,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
Viewport,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/viewport/,kt,93,314,3549,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
ViewportGridUpdateSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/viewport/,kt,94,273,3597,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
ViewportHelper,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/viewport/,kt,194,597,6523,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
ViewportPositionUpdateSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/mapengine/viewport/,kt,29,105,1128,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
Components,livemap/src/commonMain/kotlin/jetbrains/livemap/searching/,kt,17,58,496,3,2,02/17/20 11:41:16,I. Seleznev,03/04/20 10:39:54,I. Seleznev
HoverObjectDetectionSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/searching/,kt,74,247,3078,3,1,04/20/21 16:09:45,I. Kupriyanov,09/21/21 16:26:22,I. Kupriyanov
LocatorHelper,livemap/src/commonMain/kotlin/jetbrains/livemap/searching/,kt,28,100,980,5,3,02/17/20 11:41:16,I. Seleznev,09/21/21 16:26:22,I. Kupriyanov
LocatorUtil,livemap/src/commonMain/kotlin/jetbrains/livemap/searching/,kt,99,379,3550,3,2,02/17/20 11:41:16,I. Seleznev,03/04/20 10:39:54,I. Seleznev
PathLocatorHelper,livemap/src/commonMain/kotlin/jetbrains/livemap/searching/,kt,58,194,2197,7,3,02/17/20 11:41:16,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
PointLocatorHelper,livemap/src/commonMain/kotlin/jetbrains/livemap/searching/,kt,34,127,1252,8,3,02/17/20 11:41:16,I. Seleznev,09/21/21 16:26:22,I. Kupriyanov
PolygonLocatorHelper,livemap/src/commonMain/kotlin/jetbrains/livemap/searching/,kt,72,201,2475,7,3,02/17/20 11:41:16,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
SearchResult,livemap/src/commonMain/kotlin/jetbrains/livemap/searching/,kt,10,48,325,3,2,02/17/20 11:41:16,I. Seleznev,03/04/20 10:39:54,I. Seleznev
AttributionParser,livemap/src/commonMain/kotlin/jetbrains/livemap/ui/,kt,54,152,1730,1,1,09/30/20 10:27:35,I. Seleznev,09/30/20 10:27:35,I. Seleznev
Clipboard,livemap/src/commonMain/kotlin/jetbrains/livemap/ui/,kt,10,37,250,2,1,11/15/19 14:58:51,I. Seleznev,11/15/19 15:34:27,I. Seleznev
CursorService,livemap/src/commonMain/kotlin/jetbrains/livemap/ui/,kt,11,38,285,1,1,10/26/20 23:26:56,I. Seleznev,10/26/20 23:26:56,I. Seleznev
LiveMapUiSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/ui/,kt,284,839,11451,26,3,08/16/19 11:51:16,I. Seleznev,12/09/21 13:40:47,I. Kupriyanov
ResourceManager,livemap/src/commonMain/kotlin/jetbrains/livemap/ui/,kt,128,569,12055,6,3,08/13/19 11:49:25,I. Seleznev,11/19/21 15:53:59,I. Kupriyanov
UiRenderComponent,livemap/src/commonMain/kotlin/jetbrains/livemap/ui/,kt,11,50,380,4,3,09/10/19 12:13:32,I. Seleznev,02/14/20 12:30:41,I. Seleznev
UiRenderingTaskSystem,livemap/src/commonMain/kotlin/jetbrains/livemap/ui/,kt,34,116,1389,8,3,08/13/19 11:49:25,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
UiService,livemap/src/commonMain/kotlin/jetbrains/livemap/ui/,kt,106,268,3961,10,3,08/13/19 11:49:25,I. Seleznev,11/18/21 19:50:28,I. Kupriyanov
LinkedListTest,livemap/src/commonTest/kotlin/jetbrains/livemap/core/,kt,209,501,4811,5,2,08/13/19 11:49:25,I. Seleznev,11/05/19 00:18:45,I. Alshannikov
LruCacheTest,livemap/src/commonTest/kotlin/jetbrains/livemap/core/,kt,195,502,4849,6,3,08/13/19 11:49:25,I. Seleznev,08/04/21 14:33:33,V. Dovidaytis
PriorityQueueTest,livemap/src/commonTest/kotlin/jetbrains/livemap/core/,kt,75,207,1981,1,1,01/10/20 12:35:09,I. Seleznev,01/10/20 12:35:09,I. Seleznev
EcsComponentManagerTest,livemap/src/commonTest/kotlin/jetbrains/livemap/core/ecs/,kt,142,440,4897,6,3,08/27/19 14:02:38,I. Seleznev,11/19/19 13:48:10,I. Seleznev
ReplacPlaceholdersTest,livemap/src/commonTest/kotlin/jetbrains/livemap/mapengine/basemap/raster/,kt,23,93,797,1,1,09/03/21 16:36:48,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
UtilsTest,livemap/src/commonTest/kotlin/jetbrains/livemap/mapobjects/,kt,53,177,1718,11,3,09/18/19 15:03:30,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
AttributionParserTest,livemap/src/commonTest/kotlin/jetbrains/livemap/ui/,kt,91,348,3323,1,1,09/30/20 10:27:35,I. Seleznev,09/30/20 10:27:35,I. Seleznev
openLink,livemap/src/jsMain/kotlin/jetbrains/livemap/core/,kt,12,42,290,2,2,09/30/20 10:27:35,I. Seleznev,11/12/20 10:37:10,V. Dovidaytis
SystemTime,livemap/src/jsMain/kotlin/jetbrains/livemap/core/,kt,15,49,378,3,2,08/01/19 13:38:59,I. Seleznev,11/05/19 00:18:45,I. Alshannikov
MicroTaskMultiThreadedExecutorFactory,livemap/src/jsMain/kotlin/jetbrains/livemap/core/multitasking/,kt,13,42,361,1,1,01/06/20 17:42:31,I. Kupriyanov,01/06/20 17:42:31,I. Kupriyanov
Clipboard,livemap/src/jsMain/kotlin/jetbrains/livemap/ui/,kt,24,81,727,3,2,11/15/19 14:58:51,I. Seleznev,11/12/20 10:37:10,V. Dovidaytis
openLink,livemap/src/jvmMain/kotlin/jetbrains/livemap/core/,kt,15,57,440,1,1,09/30/20 10:27:35,I. Seleznev,09/30/20 10:27:35,I. Seleznev
SystemTime,livemap/src/jvmMain/kotlin/jetbrains/livemap/core/,kt,15,51,401,3,2,08/01/19 13:38:59,I. Seleznev,11/05/19 00:18:45,I. Alshannikov
MicroTaskMultiThreadedExecutorFactory,livemap/src/jvmMain/kotlin/jetbrains/livemap/core/multitasking/,kt,13,42,386,1,1,01/06/20 17:42:31,I. Kupriyanov,01/06/20 17:42:31,I. Kupriyanov
MultiAsyncMicroTaskExecutor,livemap/src/jvmMain/kotlin/jetbrains/livemap/core/multitasking/,kt,73,210,2624,5,3,08/01/19 13:38:59,I. Seleznev,04/27/20 14:58:39,I. Kupriyanov
Clipboard,livemap/src/jvmMain/kotlin/jetbrains/livemap/ui/,kt,17,60,520,2,1,11/15/19 14:58:51,I. Seleznev,11/15/19 15:34:27,I. Seleznev
LiveMapTestBase,livemap/src/jvmTest/kotlin/jetbrains/livemap/,kt,226,652,8215,14,3,09/11/19 15:00:44,I. Seleznev,11/11/21 12:08:24,I. Kupriyanov
Mocks,livemap/src/jvmTest/kotlin/jetbrains/livemap/,kt,264,695,9612,11,3,09/11/19 15:00:44,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
Utils,livemap/src/jvmTest/kotlin/jetbrains/livemap/,kt,95,247,3043,2,1,08/23/21 14:01:25,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
CameraUpdateDetectionSystemTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/camera/,kt,61,169,1749,4,3,09/11/19 15:00:44,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
ComponentManagerUtil,livemap/src/jvmTest/kotlin/jetbrains/livemap/core/ecs/,kt,15,62,539,3,3,09/11/19 15:00:44,I. Seleznev,08/23/21 14:01:25,I. Kupriyanov
SchedulerSystemTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/core/multitasking/,kt,77,206,2392,5,3,09/11/19 15:00:44,I. Seleznev,05/26/20 23:19:48,I. Kupriyanov
GrowingPathTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/effects/,kt,236,768,8599,13,3,09/20/19 12:10:21,I. Seleznev,09/21/21 16:26:22,I. Kupriyanov
MultiPolygonTransformTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/entities/geometry/,kt,167,480,5376,11,3,10/01/19 11:21:44,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
FragmentAssert,livemap/src/jvmTest/kotlin/jetbrains/livemap/entities/regions/,kt,108,273,3970,2,1,08/23/21 14:01:25,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
FragmentDownloadingServiceTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/entities/regions/,kt,91,368,4209,2,1,08/23/21 14:01:25,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
FragmentEmitSystemTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/entities/regions/,kt,224,709,9721,2,1,08/23/21 14:01:25,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
FragmentSpec,livemap/src/jvmTest/kotlin/jetbrains/livemap/entities/regions/,kt,64,184,1914,11,4,09/11/19 15:00:44,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
FragmentsRemovingSystemTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/entities/regions/,kt,83,283,3499,3,2,08/23/21 14:01:25,I. Kupriyanov,09/22/21 15:36:33,I. Krukov
RegionAssert,livemap/src/jvmTest/kotlin/jetbrains/livemap/entities/regions/,kt,29,118,1346,2,1,08/23/21 14:01:25,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
RegionEmitSystemTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/entities/regions/,kt,160,490,6674,2,1,08/23/21 14:01:25,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
RegionsTestBase,livemap/src/jvmTest/kotlin/jetbrains/livemap/entities/regions/,kt,18,79,811,1,1,08/23/21 14:01:25,I. Kupriyanov,08/23/21 14:01:25,I. Kupriyanov
PathLocatorHelperTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/searching/,kt,50,161,1839,4,3,02/17/20 11:41:16,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
PieLocatorHelperTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/searching/,kt,113,352,3848,5,3,02/17/20 11:41:16,I. Seleznev,09/21/21 16:26:22,I. Kupriyanov
PointLocatorHelperTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/searching/,kt,38,140,1364,5,3,02/17/20 11:41:16,I. Seleznev,09/21/21 16:26:22,I. Kupriyanov
PolygonLocatorHelperTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/searching/,kt,47,163,1750,4,3,02/17/20 11:41:16,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
SearchTestHelper,livemap/src/jvmTest/kotlin/jetbrains/livemap/searching/,kt,39,131,1316,5,3,02/17/20 11:41:16,I. Seleznev,09/21/21 16:26:22,I. Kupriyanov
DonorTileCalculatorTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/tile/,kt,171,432,5354,11,3,10/01/19 08:16:07,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
Mocks,livemap/src/jvmTest/kotlin/jetbrains/livemap/tile/,kt,52,179,1996,9,3,09/11/19 15:00:44,I. Seleznev,09/03/21 16:36:48,I. Kupriyanov
ViewportGridUpdateSystemTest,livemap/src/jvmTest/kotlin/jetbrains/livemap/viewport/,kt,144,420,5007,3,1,08/17/21 12:57:56,I. Kupriyanov,09/03/21 16:36:48,I. Kupriyanov
livemap-config,livemap/webpack.config.d/,js,4,21,196,2,2,04/16/20 16:30:30,I. Ryabov,08/04/21 14:33:33,V. Dovidaytis
build,livemap-demo/,gradle,132,441,5918,37,6,08/15/19 11:28:58,I. Seleznev,11/11/21 12:08:24,I. Kupriyanov
DrawImageAndClearRectDemoModel,livemap-demo/src/commonMain/kotlin/jetbrains/livemap/canvasDemo/,kt,58,194,3837,1,1,02/16/21 15:55:08,I. Seleznev,02/16/21 15:55:08,I. Seleznev
FillRectStrokeRectDemoModel,livemap-demo/src/commonMain/kotlin/jetbrains/livemap/canvasDemo/,kt,23,84,691,1,1,02/16/21 15:55:08,I. Seleznev,02/16/21 15:55:08,I. Seleznev
LineDashDemoModel,livemap-demo/src/commonMain/kotlin/jetbrains/livemap/canvasDemo/,kt,74,211,2056,1,1,02/16/21 15:55:08,I. Seleznev,02/16/21 15:55:08,I. Seleznev
LineJoinLineCapDemoModel,livemap-demo/src/commonMain/kotlin/jetbrains/livemap/canvasDemo/,kt,37,134,1164,1,1,02/16/21 15:55:08,I. Seleznev,02/16/21 15:55:08,I. Seleznev
PathDemoModel,livemap-demo/src/commonMain/kotlin/jetbrains/livemap/canvasDemo/,kt,47,137,1130,1,1,02/16/21 15:55:08,I. Seleznev,02/16/21 15:55:08,I. Seleznev
PolygonDemoModel,livemap-demo/src/commonMain/kotlin/jetbrains/livemap/canvasDemo/,kt,46,126,1237,1,1,08/17/21 12:57:56,I. Kupriyanov,08/17/21 12:57:56,I. Kupriyanov
SaveRestoreDemoModel,livemap-demo/src/commonMain/kotlin/jetbrains/livemap/canvasDemo/,kt,103,320,3249,1,1,02/16/21 15:55:08,I. Seleznev,02/16/21 15:55:08,I. Seleznev
ScaleRotateTranslateDemoModel,livemap-demo/src/commonMain/kotlin/jetbrains/livemap/canvasDemo/,kt,46,128,1128,1,1,02/16/21 15:55:08,I. Seleznev,02/16/21 15:55:08,I. Seleznev
SectorDemoModel,livemap-demo/src/commonMain/kotlin/jetbrains/livemap/canvasDemo/,kt,44,263,1712,1,1,02/16/21 15:55:08,I. Seleznev,02/16/21 15:55:08,I. Seleznev
TextAlignAndBaselineDemoModel,livemap-demo/src/commonMain/kotlin/jetbrains/livemap/canvasDemo/,kt,73,223,2268,1,1,02/16/21 15:55:08,I. Seleznev,02/16/21 15:55:08,I. Seleznev
