filename,directory,extension,lines_count,words_count,symbols_count,commits_count,authors_count,creation_date,creation_author,modification_date,modification_author
DataloreIndexOutOfBoundsException,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/,kt,13,46,396,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
UnmodifiableObservableCollection,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/,kt,11,44,402,3,1,05/28/19 21:21:27,I. Alshannikov,02/14/20 22:03:13,I. Alshannikov
ObservableCollections,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/list/,kt,279,718,9859,3,1,05/28/19 21:21:27,I. Alshannikov,02/14/20 22:03:13,I. Alshannikov
ObservableSingleItemList,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/list/,kt,68,170,1758,4,1,05/28/19 21:21:27,I. Alshannikov,02/20/20 22:32:40,I. Alshannikov
SelectedCollection,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/list/,kt,67,188,2244,3,1,05/28/19 21:21:27,I. Alshannikov,02/20/20 22:32:40,I. Alshannikov
TreeList,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/list/,kt,246,664,8813,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
UnmodifiableList,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/list/,kt,58,148,1718,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
UnmodifiableObservableList,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/list/,kt,27,107,1091,3,1,05/28/19 21:21:27,I. Alshannikov,02/20/20 22:32:40,I. Alshannikov
AbstractObservableSet,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/set/,kt,151,440,5501,3,1,05/28/19 21:21:27,I. Alshannikov,02/20/20 22:32:40,I. Alshannikov
ObservableHashSet,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/set/,kt,36,103,998,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
ObservableSet,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/set/,kt,11,47,373,3,1,05/28/19 21:21:27,I. Alshannikov,02/14/20 22:03:13,I. Alshannikov
UnmodifiableObservableSet,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/set/,kt,27,107,1078,3,1,05/28/19 21:21:27,I. Alshannikov,02/20/20 22:32:40,I. Alshannikov
UnmodifiableSet,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/collections/set/,kt,73,182,2149,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
EventListeners,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/event/,kt,16,56,512,3,1,05/28/19 21:21:27,I. Alshannikov,02/20/20 22:32:40,I. Alshannikov
LoggingEventHandler,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/event/,kt,20,65,538,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
MultiWaySync,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/event/,kt,60,146,1749,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
SimpleEventSource,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/event/,kt,24,79,768,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
BaseDerivedProperty,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/property/,kt,76,217,2511,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
DerivedProperty,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/property/,kt,40,138,1429,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
ListItemProperty,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/property/,kt,120,385,4615,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
Properties,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/property/,kt,795,2221,30478,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
ReadOnlyProperty,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/property/,kt,26,89,845,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
SimpleCollectionProperty,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/property/,kt,41,121,1490,3,1,05/28/19 21:21:27,I. Alshannikov,02/14/20 22:03:13,I. Alshannikov
SimpleDerivedProperty,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/property/,kt,76,213,2528,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
TextProperty,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/property/,kt,27,103,896,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
UpdatableProperty,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/property/,kt,23,88,756,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
BaseTransformer,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/transform/,kt,45,148,1911,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
Order,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/transform/,kt,11,37,270,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
SimpleTransformation,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/transform/,kt,18,62,590,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
TerminalTransformation,base/src/commonMain/kotlin/jetbrains/datalore/base/observable/transform/,kt,25,68,661,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
